nivel,id_ambito_geografico,ubigeo_departamento,nombre_departamento,ubigeo_provincia,nombre_provincia,actasContabilizadas,contabilizadas,totalActas,participacionCiudadana,actasEnviadasJee,enviadasJee,actasPendientesJee,pendientesJee,fechaActualizacion,idUbigeoDepartamento,idUbigeoProvincia,idUbigeoDistrito,idUbigeoDistritoElectoral,totalVotosEmitidos,totalVotosValidos,porcentajeVotosEmitidos,porcentajeVotosValidos,error
provincia,1,060000,Cajamarca,061100,San Ignacio,98.775,403,408,66.048,1.225,5,0.0,0,1777042806561,140000,140100,140101,15,76178,59352,100,100,
provincia,1,060000,Cajamarca,061200,San Marcos,98.148,159,162,65.452,1.852,3,0.0,0,1777042806561,140000,140100,140101,15,27923,20707,100,100,
provincia,1,060000,Cajamarca,061300,San Pablo,100.0,74,74,68.691,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,13938,11154,100,100,
provincia,1,070000,Cusco,070100,Cusco,96.902,1220,1259,77.73,3.098,39,0.0,0,1777042806561,140000,140100,140101,15,287656,251407,100,100,
provincia,1,070000,Cusco,070300,Anta,94.33,183,194,73.305,5.67,11,0.0,0,1777042806561,140000,140100,140101,15,40213,30670,100,100,
provincia,1,070000,Cusco,070500,Canas,98.305,116,118,69.078,1.695,2,0.0,0,1777042806561,140000,140100,140101,15,21665,17791,100,100,
provincia,1,070000,Cusco,070200,Acomayo,93.75,75,80,67.448,6.25,5,0.0,0,1777042806561,140000,140100,140101,15,14417,11462,100,100,
provincia,1,070000,Cusco,070400,Calca,99.061,211,213,73.545,0.939,2,0.0,0,1777042806561,140000,140100,140101,15,43676,33958,100,100,
provincia,1,070000,Cusco,070600,Canchis,97.931,284,290,74.582,2.069,6,0.0,0,1777042806561,140000,140100,140101,15,62256,52819,100,100,
provincia,1,070000,Cusco,070700,Chumbivilcas,99.576,235,236,66.875,0.424,1,0.0,0,1777042806561,140000,140100,140101,15,43455,33382,100,100,
provincia,1,070000,Cusco,070800,Espinar,97.235,211,217,73.594,2.765,6,0.0,0,1777042806561,140000,140100,140101,15,45082,37424,100,100,
provincia,1,070000,Cusco,070900,La Convención,92.563,585,632,57.24,7.437,47,0.0,0,1777042806561,140000,140100,140101,15,102158,81390,100,100,
provincia,1,070000,Cusco,071000,Paruro,97.143,102,105,65.456,2.857,3,0.0,0,1777042806561,140000,140100,140101,15,18325,13349,100,100,
provincia,1,070000,Cusco,071100,Paucartambo,94.406,135,143,70.69,5.594,8,0.0,0,1777042806561,140000,140100,140101,15,28172,21626,100,100,
provincia,1,070000,Cusco,071200,Quispicanchi,95.307,264,277,72.2,4.693,13,0.0,0,1777042806561,140000,140100,140101,15,56331,45408,100,100,
provincia,1,070000,Cusco,071300,Urubamba,96.347,211,219,75.024,3.653,8,0.0,0,1777042806561,140000,140100,140101,15,47001,37866,100,100,
provincia,1,080000,Huancavelica,080100,Huancavelica,95.833,368,384,65.838,4.167,16,0.0,0,1777042806561,140000,140100,140101,15,69319,57285,100,100,
provincia,1,080000,Huancavelica,080200,Acobamba,93.706,134,143,56.905,6.294,9,0.0,0,1777042806561,140000,140100,140101,15,21485,17198,100,100,
provincia,1,080000,Huancavelica,080300,Angaraes,94.41,152,161,61.783,5.59,9,0.0,0,1777042806561,140000,140100,140101,15,26531,20478,100,100,
provincia,1,080000,Huancavelica,080400,Castrovirreyna,97.101,67,69,57.185,2.899,2,0.0,0,1777042806561,140000,140100,140101,15,9702,7726,100,100,
provincia,1,080000,Huancavelica,080500,Tayacaja,95.82,298,311,61.949,4.18,13,0.0,0,1777042806561,140000,140100,140101,15,51785,40324,100,100,
