ubigeo,ambito,nombre,provincia,departamento,razon,actas_pct,donor_ubigeo,donor_nombre,scope
060310,1,Sucre,Celendín,Cajamarca,0% actas contabilizadas,0.0,060304+060105+060111,Huasmín+Encañada+Namora,"centroide (16.8 km, 28.1 km, 35.7 km)"
060309,1,Sorochuco,Celendín,Cajamarca,0% actas contabilizadas,0.0,060304+060105+060111,Huasmín+Encañada+Namora,"centroide (8.4 km, 21.8 km, 33.2 km)"
060311,1,Utco,Celendín,Cajamarca,0% actas contabilizadas,0.0,060304+010403+010110,Huasmín+Cocabamba+Leimebamba,"centroide (21.1 km, 32.0 km, 35.5 km)"
060602,1,Anguía,Chota,Cajamarca,0% actas contabilizadas,0.0,060510+060505+060514,San Luis De Lucma+La Ramada+Socota,"centroide (5.3 km, 10.4 km, 10.8 km)"
060606,1,Chiguirip,Chota,Cajamarca,0% actas contabilizadas,0.0,060604+060501+060514,Conchán+Cutervo+Socota,"centroide (7.5 km, 12.1 km, 12.8 km)"
060607,1,Chimbán,Chota,Cajamarca,0% actas contabilizadas,0.0,060505+060510+060503,La Ramada+San Luis De Lucma+Cujillo,"centroide (10.7 km, 14.6 km, 19.2 km)"
060618,1,Choropampa,Chota,Cajamarca,0% actas contabilizadas,0.0,060605+060612+060619,Chadín+Paccha+Chalamarca,"centroide (11.2 km, 14.1 km, 16.5 km)"
060608,1,Huambos,Chota,Cajamarca,0% actas contabilizadas,0.0,060603+060614+060907,Cochabamba+Querocoto+Sexi,"centroide (8.6 km, 13.1 km, 15.9 km)"
060308,1,Oxamarca,Celendín,Cajamarca,0% actas contabilizadas,0.0,061206+061203+060304,José Sabogal+Gregorio Pita+Huasmín,"centroide (23.5 km, 27.6 km, 30.0 km)"
060610,1,Llama,Chota,Cajamarca,0% actas contabilizadas,0.0,060907+060617+060614,Sexi+San Juan De Licupis+Querocoto,"centroide (9.4 km, 16.8 km, 19.6 km)"
060613,1,Pión,Chota,Cajamarca,0% actas contabilizadas,0.0,060503+060505+010707,Cujillo+La Ramada+Yamon,"centroide (12.8 km, 13.3 km, 15.0 km)"
060615,1,Tacabamba,Chota,Cajamarca,0% actas contabilizadas,0.0,060604+060510+060514,Conchán+San Luis De Lucma+Socota,"centroide (7.6 km, 11.0 km, 13.0 km)"
060616,1,Tocmoche,Chota,Cajamarca,0% actas contabilizadas,0.0,060611+060617+130102,Miracosta+San Juan De Licupis+Chongoyape,"centroide (8.6 km, 13.2 km, 25.7 km)"
060502,1,Callayuc,Cutervo,Cajamarca,0% actas contabilizadas,0.0,060512+060511+060507,Santo Domingo De La Capilla+Santa Cruz+Querocotillo,"centroide (9.3 km, 11.5 km, 17.4 km)"
060509,1,San Juan De Cutervo,Cutervo,Cajamarca,0% actas contabilizadas,0.0,060503+060513+060505,Cujillo+Santo Tomás+La Ramada,"centroide (6.8 km, 9.4 km, 10.3 km)"
060515,1,Toribio Casanova,Cutervo,Cajamarca,0% actas contabilizadas,0.0,010703+060506+060504,Cumba+Pimpingos+Choros,"centroide (8.5 km, 9.3 km, 11.6 km)"
060302,1,Cortegana,Celendín,Cajamarca,0% actas contabilizadas,0.0,060612+060605+060619,Paccha+Chadín+Chalamarca,"centroide (10.6 km, 11.0 km, 16.7 km)"
060702,1,Chugur,Hualgayoc,Cajamarca,0% actas contabilizadas,0.0,060905+060910+060609,Ninabamba+Andabamba+Lajas,"centroide (5.9 km, 8.7 km, 12.3 km)"
060303,1,Chumuch,Celendín,Cajamarca,0% actas contabilizadas,0.0,010414+010403+060304,Pisuquia+Cocabamba+Huasmín,"centroide (20.5 km, 21.6 km, 26.6 km)"
060808,1,San Felipe,Jaén,Cajamarca,0% actas contabilizadas,0.0,060807+060805+060804,Sallique+Pomahuaca+Chontalí,"centroide (12.5 km, 20.2 km, 28.5 km)"
061205,1,Eduardo Villanueva,San Marcos,Cajamarca,0% actas contabilizadas,0.0,061207+061201+061203,Chancay+Pedro Gálvez+Gregorio Pita,"centroide (8.5 km, 15.0 km, 21.5 km)"
061202,1,Ichocán,San Marcos,Cajamarca,0% actas contabilizadas,0.0,061207+061201+061203,Chancay+Pedro Gálvez+Gregorio Pita,"centroide (2.2 km, 5.8 km, 11.1 km)"
061204,1,José Manuel Quiróz,San Marcos,Cajamarca,0% actas contabilizadas,0.0,061207+061206+061201,Chancay+José Sabogal+Pedro Gálvez,"centroide (9.4 km, 11.0 km, 13.6 km)"
060901,1,Santa Cruz,Santa Cruz,Cajamarca,0% actas contabilizadas,0.0,060904+060903+060902,La Esperanza+Chancaybaños+Catache,"centroide (6.5 km, 10.1 km, 11.1 km)"
060911,1,Saucepampa,Santa Cruz,Cajamarca,0% actas contabilizadas,0.0,060904+060910+061011,La Esperanza+Andabamba+Tongod,"centroide (11.2 km, 11.4 km, 12.5 km)"
060909,1,Yauyucan,Santa Cruz,Cajamarca,0% actas contabilizadas,0.0,060910+060905+061011,Andabamba+Ninabamba+Tongod,"centroide (1.6 km, 4.6 km, 9.0 km)"
060906,1,Pulán,Santa Cruz,Cajamarca,0% actas contabilizadas,0.0,061011+060910+060902,Tongod+Andabamba+Catache,"centroide (10.7 km, 14.2 km, 14.4 km)"
060908,1,Uticyacu,Santa Cruz,Cajamarca,0% actas contabilizadas,0.0,060905+060910+060609,Ninabamba+Andabamba+Lajas,"centroide (4.8 km, 6.7 km, 8.3 km)"
070406,1,San Salvador,Calca,Cusco,0% actas contabilizadas,0.0,070107+070405+071211,Saylla+Pisac+Oropesa,"centroide (10.2 km, 11.1 km, 11.5 km)"
070407,1,Taray,Calca,Cusco,0% actas contabilizadas,0.0,070405+070402+070403,Pisac+Coya+Lamay,"centroide (1.9 km, 5.7 km, 9.1 km)"
