codigoMesa,sanchez,aliaga
030456,44,4
030498,42,3
030506,69,3
030526,29,6
030612,31,0
030634,56,7
030638,56,1
030646,57,4
030654,51,4
030724,42,1
030734,33,5
030801,34,3
030826,22,0
030833,28,0
030834,25,2
030848,34,2
030855,8,3
030857,32,1
030862,28,1
030874,29,1
030884,26,2
030908,2,2
030924,46,1
030927,1,22
030939,18,17
030941,8,9
030952,17,12
030959,11,10
030979,19,8
030985,21,10
030994,22,0
030995,25,8
030997,17,14
030998,22,0
031008,23,8
031009,23,9
031016,24,6
031025,19,10
031040,17,4
031046,17,15
031123,11,4
031127,18,17
031138,12,15
031145,8,16
031147,7,20
031160,9,27
031213,63,2
031218,49,3
031227,0,1
031228,42,2
031232,44,2
031233,46,1
031234,50,3
031237,61,2
031243,50,0
031269,36,3
031279,22,3
031286,14,7
031287,20,3
031315,7,2
031323,48,3
031328,41,1
031342,29,1
031358,36,5
031383,44,1
031397,31,1
031425,39,0
031521,24,3
031542,5,2
031543,32,1
031559,8,10
031575,8,12
031591,3,0
031600,8,8
031612,6,4
031642,2,9
031650,6,8
031651,5,9
031654,5,7
031655,4,2
031703,8,0
031733,3,11
031736,11,1
031743,7,10
031756,14,13
031765,5,9
031770,7,7
031780,7,7
031822,7,13
031843,4,14
031854,10,12
031898,16,13
031907,23,11
031915,18,18
031936,16,11
031949,15,7
031955,15,13
031986,18,5
031991,20,12
032003,19,15
032018,11,11
032027,14,15
032033,43,6
032039,58,3
032043,33,14
032070,41,5
032124,23,0
032134,22,5
032147,44,6
032170,15,4
032172,23,2
032188,33,2
032194,53,1
032232,5,3
032293,23,6
032296,3,11
032298,25,6
032301,29,6
032302,23,10
032308,29,9
032343,8,12
032349,24,5
032357,26,5
032362,30,8
032363,22,9
032365,19,7
032367,38,5
032371,24,3
032378,21,6
032381,25,3
032389,19,4
032390,23,14
032394,14,2
032407,24,2
032411,26,9
032415,21,4
032420,7,4
032440,25,6
032445,27,9
032451,34,6
032470,46,8
032479,47,5
032482,59,7
032495,44,3
032502,46,5
032511,7,1
032513,41,7
032525,45,5
032534,45,6
032549,5,5
032574,6,80
032580,4,69
032589,23,17
032592,8,12
032618,6,45
032674,8,42
032677,11,38
032699,7,32
032733,11,23
032751,15,0
032772,6,28
032785,10,50
032791,9,24
032835,20,36
032851,11,41
032882,10,32
032884,10,28
032895,13,27
032900,12,27
032971,29,28
033001,17,17
033002,8,16
033037,14,30
033090,16,33
033103,15,36
033155,18,30
033157,21,35
033159,17,35
033162,12,25
033165,17,4
033173,9,12
033180,7,20
033208,4,22
033236,8,19
033258,6,31
033296,6,31
033298,4,30
033309,6,31
033332,10,44
033357,12,29
033412,6,31
033414,16,29
033428,11,37
033429,7,41
033456,25,6
033461,44,5
033469,34,4
033490,44,4
033529,3,9
033534,7,35
033539,29,4
033548,32,8
033570,4,11
033588,5,12
033629,15,10
033654,0,4
033665,2,7
033682,31,5
033738,11,34
033773,11,21
033785,9,32
033817,15,28
033842,8,23
033872,22,19
033879,11,20
033924,22,19
033945,20,15
034021,23,12
034078,16,13
034084,23,0
034122,29,9
034169,26,9
034213,22,6
034216,22,11
034223,16,13
034320,23,3
034321,26,17
034332,40,8
034365,32,4
034390,3,8
034418,16,21
034487,14,16
034555,2,18
034569,24,25
034582,8,20
034620,15,19
034639,14,13
034808,7,15
034812,32,14
034816,30,19
034823,27,13
034827,24,18
034868,22,1
034877,34,13
034938,44,10
034960,15,11
035027,0,20
035042,11,14
035055,51,2
035061,48,2
035068,45,0
035070,51,1
035072,53,3
035080,51,0
035087,45,0
035124,39,2
035130,50,7
035133,40,3
035143,65,3
035191,49,14
035203,18,21
035208,0,18
035214,25,18
035216,24,11
035253,21,20
035287,20,11
035331,33,0
035413,14,2
035429,18,7
035433,30,2
035452,27,6
035467,21,6
035474,46,9
035489,35,9
035515,44,3
035530,20,1
035541,12,7
035549,20,4
035588,14,2
035602,2,0
035658,23,3
035669,50,13
035676,37,19
035681,40,7
035719,19,5
035728,47,8
035729,30,4
035740,23,3
035778,50,4
035803,32,4
035834,37,4
035857,4,4
035881,10,3
035895,12,7
035900,12,6
035918,23,2
035934,22,2
036155,6,59
036218,1,7
036222,2,60
036300,8,33
036375,4,34
036449,2,31
036518,10,36
036534,2,55
036584,3,40
036697,2,28
036778,5,33
036849,0,46
036953,1,25
036964,1,49
037008,17,25
037054,4,30
037065,11,24
037122,16,22
037124,16,20
037450,14,8
038185,9,27
038405,15,36
038454,18,23
039065,3,57
039249,5,23
039366,6,14
039367,0,0
039495,8,18
039550,13,23
039573,12,24
039692,0,14
039789,13,10
039908,7,27
040160,7,25
040558,4,23
040622,4,35
040639,9,22
040819,1,30
040910,11,17
041028,5,29
041051,2,23
041107,1,33
041115,5,33
041131,5,32
041176,1,19
041185,2,26
041186,4,18
041187,10,16
041203,7,34
041250,4,22
041336,4,33
041400,8,29
041701,5,42
041780,3,40
041828,1,50
042279,2,69
042390,9,35
042404,2,39
042406,6,29
042410,3,36
042529,1,66
042565,4,43
042638,7,44
042739,2,47
042799,0,0
