id_ambito_geografico,ubigeo_distrito,nombre_distrito,ubigeo_provincia,nombre_provincia,ubigeo_departamento,nombre_departamento
1,030216,San Juan De Chacña,030200,Aymaraes,030000,Apurímac
1,030210,Sañayca,030200,Aymaraes,030000,Apurímac
1,030211,Soraya,030200,Aymaraes,030000,Apurímac
1,030212,Tapairihua,030200,Aymaraes,030000,Apurímac
1,030213,Tintay,030200,Aymaraes,030000,Apurímac
1,030214,Toraya,030200,Aymaraes,030000,Apurímac
1,030215,Yanaca,030200,Aymaraes,030000,Apurímac
1,030712,Ahuayro,030700,Chincheros,030000,Apurímac
1,030705,Anco Huallo,030700,Chincheros,030000,Apurímac
1,030701,Chincheros,030700,Chincheros,030000,Apurímac
1,030704,Cocharcas,030700,Chincheros,030000,Apurímac
1,030710,El Porvenir,030700,Chincheros,030000,Apurímac
1,030706,Huaccana,030700,Chincheros,030000,Apurímac
1,030711,Los Chankas,030700,Chincheros,030000,Apurímac
1,030703,Ocobamba,030700,Chincheros,030000,Apurímac
1,030702,Ongoy,030700,Chincheros,030000,Apurímac
1,030708,Ranracancha,030700,Chincheros,030000,Apurímac
1,030709,Rocchacc,030700,Chincheros,030000,Apurímac
1,030707,Uranmarca,030700,Chincheros,030000,Apurímac
1,030506,Challhuahuacho,030500,Cotabambas,030000,Apurímac
1,030503,Cotabambas,030500,Cotabambas,030000,Apurímac
1,030502,Coyllurqui,030500,Cotabambas,030000,Apurímac
1,030504,Haquira,030500,Cotabambas,030000,Apurímac
1,030505,Mara,030500,Cotabambas,030000,Apurímac
1,030501,Tambobamba,030500,Cotabambas,030000,Apurímac
1,030601,Chuquibambilla,030600,Grau,030000,Apurímac
1,030614,Curasco,030600,Grau,030000,Apurímac
1,030602,Curpahuasi,030600,Grau,030000,Apurímac
1,030605,Gamarra,030600,Grau,030000,Apurímac
1,030603,Huayllati,030600,Grau,030000,Apurímac
1,030604,Mamara,030600,Grau,030000,Apurímac
1,030606,Micaela Bastidas,030600,Grau,030000,Apurímac
1,030608,Pataypampa,030600,Grau,030000,Apurímac
1,030607,Progreso,030600,Grau,030000,Apurímac
1,030609,San Antonio,030600,Grau,030000,Apurímac
1,030613,Santa Rosa,030600,Grau,030000,Apurímac
1,030610,Turpay,030600,Grau,030000,Apurímac
1,030611,Vilcabamba,030600,Grau,030000,Apurímac
1,030612,Virundo,030600,Grau,030000,Apurímac
1,040128,Alto Selva Alegre,040100,Arequipa,040000,Arequipa
1,040101,Arequipa,040100,Arequipa,040000,Arequipa
1,040102,Cayma,040100,Arequipa,040000,Arequipa
1,040103,Cerro Colorado,040100,Arequipa,040000,Arequipa
1,040104,Characato,040100,Arequipa,040000,Arequipa
1,040105,Chiguata,040100,Arequipa,040000,Arequipa
1,040127,Jacobo Hunter,040100,Arequipa,040000,Arequipa
1,040129,José Luis Bustamante Y Rivero,040100,Arequipa,040000,Arequipa
1,040106,La Joya,040100,Arequipa,040000,Arequipa
1,040126,Mariano Melgar,040100,Arequipa,040000,Arequipa
1,040107,Miraflores,040100,Arequipa,040000,Arequipa
1,040108,Mollebaya,040100,Arequipa,040000,Arequipa
1,040109,Paucarpata,040100,Arequipa,040000,Arequipa
1,040110,Pocsi,040100,Arequipa,040000,Arequipa
1,040111,Polobaya,040100,Arequipa,040000,Arequipa
1,040112,Quequeña,040100,Arequipa,040000,Arequipa
1,040113,Sabandia,040100,Arequipa,040000,Arequipa
1,040114,Sachaca,040100,Arequipa,040000,Arequipa
1,040115,San Juan De Siguas,040100,Arequipa,040000,Arequipa
1,040116,San Juan De Tarucani,040100,Arequipa,040000,Arequipa
1,040117,Santa Isabel De Siguas,040100,Arequipa,040000,Arequipa
